Customer_ID,Age,Gender,Item_Purchased,Category,Size,Color,Review_Rating,Subscription_Status,Shipping_Type,Promo_Code_Used,Previous_Purchases
34,54,Male,Pants,Clothing,L,Green,3.3,Yes,Store Pickup,Yes,45
35,36,Male,T-shirt,Clothing,L,Violet,4.6,Yes,2-Day Shipping,Yes,38
36,54,Male,Blouse,Clothing,M,Cyan,4.0,Yes,2-Day Shipping,Yes,48
37,35,Male,T-shirt,Clothing,M,Maroon,4.6,Yes,Free Shipping,Yes,44
38,35,Male,Jeans,Clothing,S,Cyan,2.8,Yes,Store Pickup,Yes,10
39,29,Male,Dress,Clothing,M,Red,3.7,Yes,2-Day Shipping,Yes,44
40,70,Male,Pants,Clothing,S,Turquoise,4.2,Yes,Express,Yes,18
41,69,Male,Handbag,Accessories,L,Beige,4.6,Yes,Next Day Air,Yes,31
42,67,Male,Scarf,Accessories,M,Orange,4.5,Yes,Standard,Yes,40
43,20,Male,Coat,Outerwear,M,Beige,4.1,Yes,Free Shipping,Yes,15
44,25,Male,Scarf,Accessories,L,Lavender,3.7,Yes,Store Pickup,Yes,19
45,39,Male,Hat,Accessories,S,Silver,4.6,Yes,Free Shipping,Yes,45
46,50,Male,Socks,Clothing,XL,Indigo,2.9,Yes,2-Day Shipping,Yes,25
47,57,Male,Shirt,Clothing,L,White,2.9,Yes,Store Pickup,Yes,45
48,55,Male,Jewelry,Accessories,M,Charcoal,4.5,Yes,Free Shipping,Yes,36
49,42,Male,Shirt,Clothing,M,Orange,2.7,Yes,Store Pickup,Yes,38
50,68,Male,Hoodie,Clothing,S,Indigo,4.6,Yes,Next Day Air,Yes,34
51,49,Male,Blouse,Clothing,M,Red,3.7,Yes,Store Pickup,Yes,39
52,59,Male,Skirt,Clothing,XL,Gray,4.7,Yes,2-Day Shipping,Yes,7
53,42,Male,T-shirt,Clothing,M,Green,2.6,Yes,Free Shipping,Yes,26
54,29,Male,Skirt,Clothing,S,Peach,3.9,Yes,Next Day Air,Yes,35
55,47,Male,Coat,Outerwear,M,Brown,4.2,Yes,Next Day Air,Yes,35
56,40,Male,Jacket,Outerwear,M,Lavender,3.0,Yes,2-Day Shipping,Yes,49
57,41,Male,Backpack,Accessories,XL,Brown,4.7,Yes,Store Pickup,Yes,46
58,21,Male,Coat,Outerwear,M,White,4.4,Yes,Store Pickup,Yes,17
59,69,Male,Hoodie,Clothing,M,Charcoal,4.2,Yes,Free Shipping,Yes,29
60,63,Male,Belt,Accessories,L,Yellow,4.6,Yes,Standard,Yes,4
61,50,Male,Sweater,Clothing,L,Brown,4.0,Yes,Express,Yes,17
62,55,Male,Scarf,Accessories,M,Orange,4.7,Yes,Store Pickup,Yes,21
63,30,Male,Sneakers,Footwear,S,Magenta,3.8,Yes,Free Shipping,Yes,31
64,33,Male,Sunglasses,Accessories,L,Lavender,2.7,Yes,2-Day Shipping,Yes,43
65,65,Male,Boots,Footwear,S,Green,4.8,Yes,Standard,Yes,18
66,65,Male,Backpack,Accessories,M,Purple,4.8,Yes,2-Day Shipping,Yes,44
67,31,Male,Blouse,Clothing,S,Magenta,4.7,Yes,2-Day Shipping,Yes,3
68,45,Male,Coat,Outerwear,L,Gray,4.4,Yes,Store Pickup,Yes,49
69,57,Male,Handbag,Accessories,L,Silver,3.9,Yes,Next Day Air,Yes,21
70,48,Male,Belt,Accessories,S,Cyan,4.4,Yes,Express,Yes,5
71,22,Male,Belt,Accessories,M,Magenta,4.2,Yes,Express,Yes,32
72,36,Male,Dress,Clothing,L,Gold,2.9,Yes,Express,Yes,34
73,18,Male,Dress,Clothing,M,Olive,2.9,Yes,Store Pickup,Yes,21
74,48,Male,Pants,Clothing,M,Teal,2.7,Yes,Free Shipping,Yes,43
75,49,Male,Gloves,Accessories,L,Violet,4.5,Yes,Express,Yes,3
76,64,Male,Scarf,Accessories,M,Blue,2.7,Yes,Free Shipping,Yes,21
77,50,Male,Hat,Accessories,S,Teal,4.2,Yes,Free Shipping,Yes,32
78,22,Male,Dress,Clothing,L,Gold,3.3,Yes,Next Day Air,Yes,36
79,50,Male,Skirt,Clothing,M,Maroon,4.7,Yes,Free Shipping,Yes,50
80,38,Male,Jacket,Outerwear,M,Olive,2.6,Yes,2-Day Shipping,Yes,43
81,19,Male,Sandals,Footwear,XL,Blue,3.3,Yes,Store Pickup,Yes,24
82,67,Male,Shoes,Footwear,L,Maroon,2.6,Yes,Express,Yes,36
83,19,Male,Pants,Clothing,S,Olive,4.0,Yes,2-Day Shipping,Yes,21
84,36,Male,Dress,Clothing,M,Turquoise,4.1,Yes,Standard,Yes,34
85,52,Male,Coat,Outerwear,S,Peach,4.4,Yes,Standard,Yes,42
86,53,Male,Sunglasses,Accessories,M,Charcoal,4.5,Yes,Next Day Air,Yes,2
87,24,Male,Hoodie,Clothing,L,Pink,3.7,Yes,2-Day Shipping,Yes,47
88,52,Male,Shoes,Footwear,M,Green,3.7,Yes,2-Day Shipping,Yes,44
89,33,Male,T-shirt,Clothing,M,Orange,3.5,Yes,Free Shipping,Yes,35
90,47,Male,Jacket,Outerwear,XL,Pink,3.6,Yes,Next Day Air,Yes,15
91,25,Male,Hat,Accessories,L,Violet,2.9,Yes,Express,Yes,29
92,44,Male,Scarf,Accessories,S,Green,4.6,Yes,Standard,Yes,18
93,61,Male,Jacket,Outerwear,M,Olive,4.4,Yes,2-Day Shipping,Yes,13
94,37,Male,Sweater,Clothing,M,Purple,4.5,Yes,Standard,Yes,46
95,58,Male,Skirt,Clothing,S,Silver,4.6,Yes,Free Shipping,Yes,28
96,37,Male,Sneakers,Footwear,L,Pink,3.8,Yes,Free Shipping,Yes,48
97,32,Male,Gloves,Accessories,S,Gold,3.6,Yes,Express,Yes,43
98,21,Male,Shoes,Footwear,M,Teal,4.8,Yes,Store Pickup,Yes,37
99,20,Male,Jeans,Clothing,XL,Teal,2.6,Yes,Next Day Air,Yes,20
100,26,Male,Hoodie,Clothing,XL,Indigo,3.7,Yes,Express,Yes,33
101,62,Male,Sunglasses,Accessories,M,Maroon,2.7,Yes,Express,Yes,31
102,27,Male,Coat,Outerwear,XL,White,4.6,Yes,Express,Yes,50
103,51,Male,Socks,Clothing,L,Violet,4.8,Yes,Next Day Air,Yes,35
104,54,Male,Boots,Footwear,L,Red,4.0,Yes,Next Day Air,Yes,22
105,55,Male,Sunglasses,Accessories,L,Pink,4.4,Yes,2-Day Shipping,Yes,1
106,69,Male,Backpack,Accessories,M,Charcoal,3.6,Yes,Next Day Air,Yes,4
107,64,Male,Jacket,Outerwear,L,White,3.7,Yes,Standard,Yes,31
108,28,Male,Sneakers,Footwear,L,Olive,3.1,Yes,Next Day Air,Yes,46
109,70,Male,Socks,Clothing,L,Purple,3.4,Yes,Next Day Air,Yes,32
110,58,Male,T-shirt,Clothing,M,Violet,2.6,Yes,Next Day Air,Yes,43
111,56,Male,Backpack,Accessories,M,Black,4.0,Yes,Standard,Yes,26
112,26,Male,Belt,Accessories,L,Purple,5.0,Yes,Free Shipping,Yes,9
113,37,Male,Gloves,Accessories,M,Red,4.3,Yes,Free Shipping,Yes,28
114,44,Male,Hat,Accessories,L,Maroon,3.1,Yes,Next Day Air,Yes,20
115,70,Male,Coat,Outerwear,S,Blue,3.7,Yes,Store Pickup,Yes,9
116,53,Male,Skirt,Clothing,M,Gray,3.8,Yes,Standard,Yes,48
117,55,Male,Shoes,Footwear,S,Blue,3.4,Yes,Free Shipping,Yes,12
118,50,Male,Sandals,Footwear,L,Yellow,4.6,Yes,Express,Yes,29
119,50,Male,Sweater,Clothing,L,Orange,4.8,Yes,2-Day Shipping,Yes,27
120,38,Male,Coat,Outerwear,M,Orange,4.3,Yes,Express,Yes,44
121,64,Male,Hat,Accessories,L,Red,4.0,Yes,Express,Yes,32
122,19,Male,Shorts,Clothing,M,Olive,4.2,Yes,Standard,Yes,11
123,40,Male,Backpack,Accessories,L,Brown,4.8,Yes,2-Day Shipping,Yes,44
124,57,Male,Sweater,Clothing,L,Brown,3.1,Yes,Free Shipping,Yes,46
125,44,Male,Sweater,Clothing,M,Gray,3.1,Yes,Next Day Air,Yes,50
126,49,Male,Shorts,Clothing,M,Indigo,3.6,Yes,Next Day Air,Yes,45
127,43,Male,Shorts,Clothing,L,Pink,3.9,Yes,Store Pickup,Yes,48
128,24,Male,Sweater,Clothing,M,Gray,4.8,Yes,Next Day Air,Yes,26
129,20,Male,Scarf,Accessories,M,Gold,4.7,Yes,Standard,Yes,21
130,24,Male,Dress,Clothing,XL,Olive,4.2,Yes,2-Day Shipping,Yes,49
131,44,Male,Scarf,Accessories,L,Violet,3.7,Yes,Next Day Air,Yes,13
132,28,Male,Skirt,Clothing,L,Indigo,3.9,Yes,Standard,Yes,46
133,30,Male,Backpack,Accessories,M,Orange,4.7,Yes,2-Day Shipping,Yes,42
134,52,Male,Sweater,Clothing,M,Violet,2.5,Yes,Next Day Air,Yes,25
135,43,Male,Hat,Accessories,L,Gray,4.9,Yes,Store Pickup,Yes,25
136,43,Male,Sandals,Footwear,M,Purple,4.1,Yes,Express,Yes,12
137,39,Male,Blouse,Clothing,M,White,3.3,Yes,Free Shipping,Yes,4
138,68,Male,Sneakers,Footwear,M,Turquoise,4.7,Yes,Free Shipping,Yes,38
139,68,Male,Skirt,Clothing,M,Maroon,4.4,Yes,Store Pickup,Yes,42
140,49,Male,Coat,Outerwear,M,White,3.8,Yes,Store Pickup,Yes,30
141,63,Male,Shirt,Clothing,L,Yellow,3.9,Yes,2-Day Shipping,Yes,50
142,56,Male,Gloves,Accessories,M,Turquoise,4.9,Yes,Free Shipping,Yes,45
143,37,Male,Jacket,Outerwear,L,Violet,3.1,Yes,Free Shipping,Yes,33
144,30,Male,Coat,Outerwear,M,Beige,2.7,Yes,Store Pickup,Yes,25
145,19,Male,Shoes,Footwear,M,Silver,3.2,Yes,Express,Yes,25
146,24,Male,Jewelry,Accessories,M,Teal,4.5,Yes,Standard,Yes,44
147,52,Male,Skirt,Clothing,S,Black,4.0,Yes,Standard,Yes,21
148,63,Male,Shoes,Footwear,M,Purple,3.5,Yes,2-Day Shipping,Yes,31
149,37,Male,Gloves,Accessories,M,Gray,2.6,Yes,Store Pickup,Yes,47
150,38,Male,Pants,Clothing,M,White,3.2,Yes,Free Shipping,Yes,14
151,35,Male,Boots,Footwear,L,Cyan,4.9,Yes,Standard,Yes,17
152,28,Male,Sunglasses,Accessories,L,Turquoise,4.5,Yes,Next Day Air,Yes,3
153,30,Male,Shirt,Clothing,S,Brown,4.3,Yes,Express,Yes,42
154,69,Male,Hoodie,Clothing,M,Maroon,3.2,Yes,Standard,Yes,22
155,41,Male,Dress,Clothing,M,Charcoal,3.6,Yes,Next Day Air,Yes,21
156,63,Male,Socks,Clothing,S,Olive,4.3,Yes,Free Shipping,Yes,21
157,35,Male,Shorts,Clothing,M,Lavender,4.0,Yes,Standard,Yes,40
158,36,Male,Hat,Accessories,S,Yellow,3.0,Yes,Next Day Air,Yes,1
159,25,Male,Shirt,Clothing,XL,Teal,4.1,Yes,Standard,Yes,50
160,58,Male,Gloves,Accessories,M,Charcoal,3.8,Yes,Store Pickup,Yes,39
161,27,Male,Gloves,Accessories,M,Orange,4.6,Yes,Free Shipping,Yes,34
162,65,Male,Backpack,Accessories,M,Olive,3.0,Yes,Express,Yes,29
163,54,Male,Sunglasses,Accessories,M,Turquoise,3.0,Yes,Store Pickup,Yes,31
164,54,Male,Skirt,Clothing,M,Purple,3.4,Yes,Standard,Yes,8
165,59,Male,Handbag,Accessories,S,Purple,2.6,Yes,Free Shipping,Yes,5
166,42,Male,Handbag,Accessories,S,Yellow,2.8,Yes,Store Pickup,Yes,7
167,46,Male,Sneakers,Footwear,XL,Indigo,4.0,Yes,Store Pickup,Yes,30
168,33,Male,Gloves,Accessories,M,Green,4.0,Yes,Express,Yes,14
169,34,Male,Shoes,Footwear,M,Magenta,3.0,Yes,Express,Yes,5
170,27,Male,Jacket,Outerwear,S,Gold,3.3,Yes,Standard,Yes,3
171,52,Male,Shirt,Clothing,M,Maroon,2.6,Yes,Store Pickup,Yes,46
172,29,Male,Shorts,Clothing,M,Blue,3.6,Yes,Store Pickup,Yes,4
173,54,Male,Jewelry,Accessories,M,Violet,3.9,Yes,Next Day Air,Yes,42
174,25,Male,Hat,Accessories,M,Turquoise,3.4,Yes,Standard,Yes,30
175,41,Male,Shoes,Footwear,L,Brown,3.5,Yes,Express,Yes,37
176,53,Male,Coat,Outerwear,L,Violet,2.8,Yes,Next Day Air,Yes,2
177,53,Male,Backpack,Accessories,L,Black,2.7,Yes,Next Day Air,Yes,30
178,21,Male,Hoodie,Clothing,L,Magenta,3.7,Yes,Next Day Air,Yes,47
179,61,Male,Skirt,Clothing,L,Lavender,4.3,Yes,2-Day Shipping,Yes,21
180,64,Male,Boots,Footwear,M,Violet,4.9,Yes,Store Pickup,Yes,9
181,51,Male,Sandals,Footwear,L,Green,3.3,Yes,Store Pickup,Yes,12
182,32,Male,Pants,Clothing,M,Beige,4.7,Yes,Next Day Air,Yes,4
183,38,Male,Gloves,Accessories,XL,Purple,2.8,Yes,Store Pickup,Yes,10
184,58,Male,Skirt,Clothing,XL,Beige,3.6,Yes,2-Day Shipping,Yes,26
185,32,Male,Sneakers,Footwear,L,Cyan,3.0,Yes,Express,Yes,40
186,46,Male,T-shirt,Clothing,XL,Silver,4.5,Yes,Store Pickup,Yes,34
187,39,Male,Backpack,Accessories,S,Lavender,2.9,Yes,Standard,Yes,31
188,19,Male,Shoes,Footwear,S,Purple,3.3,Yes,Store Pickup,Yes,1
189,50,Male,Hoodie,Clothing,M,Pink,3.1,Yes,Express,Yes,5
190,36,Male,Blouse,Clothing,M,Maroon,4.4,Yes,Next Day Air,Yes,4
191,65,Male,Coat,Outerwear,XL,Beige,3.0,Yes,Free Shipping,Yes,48
192,64,Male,Hat,Accessories,M,Gray,3.9,Yes,Free Shipping,Yes,29
193,46,Male,Shoes,Footwear,L,Turquoise,2.9,Yes,Express,Yes,12
194,36,Male,Belt,Accessories,S,Silver,3.0,Yes,Standard,Yes,29
195,51,Male,Backpack,Accessories,M,Olive,3.1,Yes,Express,Yes,15
196,51,Male,Jacket,Outerwear,M,Magenta,4.3,Yes,Free Shipping,Yes,34
197,38,Male,Boots,Footwear,M,Lavender,3.9,Yes,Next Day Air,Yes,41
198,59,Male,Scarf,Accessories,M,Black,3.2,Yes,2-Day Shipping,Yes,41
199,57,Male,Jewelry,Accessories,M,Turquoise,4.8,Yes,Standard,Yes,39
200,54,Male,Hat,Accessories,XL,Green,3.8,Yes,Express,Yes,32
201,25,Male,Dress,Clothing,S,Teal,3.3,Yes,Next Day Air,Yes,29
202,69,Male,Blouse,Clothing,S,Beige,4.3,Yes,Free Shipping,Yes,15
203,57,Male,Hat,Accessories,L,Magenta,2.7,Yes,Express,Yes,33
204,70,Male,Scarf,Accessories,S,Yellow,3.2,Yes,Next Day Air,Yes,18
205,24,Male,Sneakers,Footwear,M,Yellow,4.0,Yes,Store Pickup,Yes,35
206,67,Male,Shirt,Clothing,M,Silver,3.0,Yes,Standard,Yes,25
207,24,Male,T-shirt,Clothing,L,Silver,4.2,Yes,Free Shipping,Yes,6
208,62,Male,Gloves,Accessories,M,Silver,2.9,Yes,Express,Yes,17
209,57,Male,Skirt,Clothing,M,Gold,4.1,Yes,Store Pickup,Yes,17
210,55,Male,Sandals,Footwear,S,Olive,3.2,Yes,Store Pickup,Yes,44
211,45,Male,Jacket,Outerwear,L,Teal,3.0,Yes,2-Day Shipping,Yes,6
212,69,Male,Skirt,Clothing,L,Maroon,4.2,Yes,2-Day Shipping,Yes,45
213,67,Male,Handbag,Accessories,L,Blue,4.2,Yes,Express,Yes,7
214,30,Male,Handbag,Accessories,L,Peach,4.4,Yes,Store Pickup,Yes,11
215,24,Male,Jacket,Outerwear,L,Blue,4.2,Yes,Next Day Air,Yes,41
216,62,Male,Scarf,Accessories,S,Orange,2.8,Yes,2-Day Shipping,Yes,24
217,43,Male,Shorts,Clothing,L,Yellow,3.7,Yes,Free Shipping,Yes,21
218,35,Male,Sunglasses,Accessories,M,Purple,3.5,Yes,Next Day Air,Yes,24
219,28,Male,T-shirt,Clothing,S,Magenta,2.9,Yes,Store Pickup,Yes,8
220,32,Male,Belt,Accessories,M,Cyan,3.0,Yes,Free Shipping,Yes,12
221,39,Male,Sneakers,Footwear,S,Indigo,3.7,Yes,Express,Yes,48
222,28,Male,Hat,Accessories,XL,Magenta,4.4,Yes,Store Pickup,Yes,6
223,47,Male,Gloves,Accessories,XL,Gray,4.5,Yes,2-Day Shipping,Yes,14
224,20,Male,Pants,Clothing,M,Turquoise,4.8,Yes,Free Shipping,Yes,34
225,63,Male,Socks,Clothing,S,Beige,2.9,Yes,Free Shipping,Yes,12
226,25,Male,Jacket,Outerwear,M,Olive,3.2,Yes,Next Day Air,Yes,11
227,29,Male,Shoes,Footwear,L,Violet,3.3,Yes,Free Shipping,Yes,5
228,50,Male,Jeans,Clothing,M,Turquoise,4.2,Yes,Standard,Yes,25
229,18,Male,Socks,Clothing,M,White,2.9,Yes,Store Pickup,Yes,11
230,70,Male,Sandals,Footwear,S,Silver,4.6,Yes,Next Day Air,Yes,27
231,66,Male,Scarf,Accessories,L,Olive,4.1,Yes,Standard,Yes,43
232,28,Male,Blouse,Clothing,M,Blue,3.1,Yes,2-Day Shipping,Yes,18
233,54,Male,Jewelry,Accessories,L,Purple,4.2,Yes,Express,Yes,32
234,19,Male,Sweater,Clothing,XL,Yellow,4.5,Yes,Next Day Air,Yes,27
235,20,Male,Gloves,Accessories,S,Silver,3.7,Yes,Next Day Air,Yes,24
236,43,Male,Sunglasses,Accessories,M,Cyan,3.7,Yes,Free Shipping,Yes,31
237,38,Male,Coat,Outerwear,L,Green,3.4,Yes,Next Day Air,Yes,39
238,50,Male,Dress,Clothing,M,Beige,3.0,Yes,Store Pickup,Yes,36
239,64,Male,Skirt,Clothing,M,Peach,4.2,Yes,Free Shipping,Yes,5
240,49,Male,Pants,Clothing,L,Yellow,2.9,Yes,Express,Yes,47
241,47,Male,Sweater,Clothing,XL,Turquoise,3.5,Yes,Free Shipping,Yes,29
242,36,Male,Hoodie,Clothing,M,Peach,4.1,Yes,Free Shipping,Yes,43
243,55,Male,Coat,Outerwear,L,Gray,4.3,Yes,Store Pickup,Yes,40
244,25,Male,Jewelry,Accessories,M,Olive,2.8,Yes,2-Day Shipping,Yes,4
245,53,Male,Belt,Accessories,S,Indigo,4.9,Yes,2-Day Shipping,Yes,39
246,49,Male,Sandals,Footwear,L,Charcoal,3.3,Yes,Next Day Air,Yes,45
247,35,Male,Sunglasses,Accessories,XL,Beige,3.2,Yes,Express,Yes,20
248,29,Male,Sweater,Clothing,XL,Brown,4.4,Yes,Standard,Yes,14
249,47,Male,Belt,Accessories,M,Blue,4.8,Yes,Express,Yes,33
250,53,Male,Handbag,Accessories,S,Teal,4.2,Yes,Standard,Yes,18
251,33,Male,Skirt,Clothing,L,Black,4.0,Yes,Express,Yes,9
252,21,Male,Handbag,Accessories,XL,Gold,2.5,Yes,Standard,Yes,34
253,32,Male,Shorts,Clothing,M,Violet,3.9,Yes,Free Shipping,Yes,33
254,52,Male,Boots,Footwear,L,Cyan,4.9,Yes,2-Day Shipping,Yes,15
255,67,Male,Sunglasses,Accessories,M,White,3.5,Yes,Store Pickup,Yes,4
256,43,Male,Scarf,Accessories,M,Charcoal,4.2,Yes,Free Shipping,Yes,25
257,58,Male,Jewelry,Accessories,XL,Violet,4.7,Yes,Express,Yes,20
258,20,Male,Handbag,Accessories,M,Red,4.5,Yes,Express,Yes,5
259,61,Male,Gloves,Accessories,S,Lavender,2.8,Yes,Express,Yes,16
260,32,Male,Jeans,Clothing,M,Gold,2.9,Yes,Standard,Yes,13
261,38,Male,Hat,Accessories,S,Red,3.2,Yes,2-Day Shipping,Yes,11
262,21,Male,Jeans,Clothing,L,Magenta,4.9,Yes,Standard,Yes,21
263,37,Male,Pants,Clothing,M,Teal,3.7,Yes,Next Day Air,Yes,6
264,27,Male,Shorts,Clothing,M,Purple,4.3,Yes,Store Pickup,Yes,29
265,36,Male,Pants,Clothing,S,Charcoal,3.9,Yes,Store Pickup,Yes,15
266,32,Male,Backpack,Accessories,M,Gray,3.2,Yes,2-Day Shipping,Yes,17
267,51,Male,Jewelry,Accessories,L,White,3.1,Yes,Express,Yes,32
268,64,Male,Sweater,Clothing,M,Olive,3.9,Yes,2-Day Shipping,Yes,42
269,68,Male,Shoes,Footwear,M,Charcoal,2.6,Yes,Store Pickup,Yes,21
270,68,Male,Blouse,Clothing,M,Charcoal,3.3,Yes,Next Day Air,Yes,9
271,33,Male,Jeans,Clothing,XL,Orange,4.6,Yes,Free Shipping,Yes,16
272,65,Male,Sunglasses,Accessories,XL,Yellow,4.6,Yes,Express,Yes,42
273,48,Male,Jewelry,Accessories,M,Beige,4.4,Yes,2-Day Shipping,Yes,37
274,69,Male,Coat,Outerwear,S,Silver,4.2,Yes,Express,Yes,32
275,59,Male,Jewelry,Accessories,M,Indigo,3.0,Yes,Express,Yes,28
276,48,Male,Backpack,Accessories,XL,Lavender,4.0,Yes,Express,Yes,13
277,25,Male,Skirt,Clothing,XL,Turquoise,3.5,Yes,Express,Yes,11
278,29,Male,Shirt,Clothing,M,Green,3.0,Yes,Store Pickup,Yes,36
279,57,Male,Sweater,Clothing,M,Orange,3.7,Yes,Express,Yes,23
280,23,Male,Sneakers,Footwear,L,Turquoise,4.0,Yes,Standard,Yes,37
281,45,Male,Sandals,Footwear,S,Cyan,4.2,Yes,2-Day Shipping,Yes,21
282,38,Male,Belt,Accessories,XL,Charcoal,2.5,Yes,Standard,Yes,22
283,21,Male,Skirt,Clothing,M,Teal,3.0,Yes,2-Day Shipping,Yes,9
284,32,Male,Sweater,Clothing,S,Maroon,3.2,Yes,Next Day Air,Yes,16
285,63,Male,Skirt,Clothing,M,Red,3.5,Yes,Standard,Yes,4
286,29,Male,Handbag,Accessories,XL,Yellow,4.8,Yes,Express,Yes,3
287,27,Male,Jewelry,Accessories,L,Gray,2.6,Yes,Store Pickup,Yes,6
288,56,Male,Scarf,Accessories,L,Blue,3.4,Yes,2-Day Shipping,Yes,18
289,30,Male,T-shirt,Clothing,M,Lavender,3.7,Yes,2-Day Shipping,Yes,34
290,49,Male,Coat,Outerwear,M,Yellow,4.5,Yes,2-Day Shipping,Yes,26
291,58,Male,T-shirt,Clothing,M,Indigo,3.7,Yes,Standard,Yes,50
292,57,Male,Dress,Clothing,XL,Violet,3.3,Yes,Next Day Air,Yes,40
293,60,Male,Shoes,Footwear,M,Green,4.7,Yes,Free Shipping,Yes,24
294,69,Male,Handbag,Accessories,M,White,2.7,Yes,Express,Yes,33
295,70,Male,Skirt,Clothing,M,Gold,4.6,Yes,Store Pickup,Yes,19
296,53,Male,Sunglasses,Accessories,M,Indigo,2.7,Yes,Store Pickup,Yes,24
297,25,Male,Sandals,Footwear,S,Lavender,4.8,Yes,2-Day Shipping,Yes,19
298,48,Male,Shoes,Footwear,XL,Purple,4.4,Yes,Standard,Yes,4
299,69,Male,T-shirt,Clothing,M,Lavender,4.0,Yes,Standard,Yes,11
300,25,Male,Sneakers,Footwear,M,Maroon,3.2,Yes,Next Day Air,Yes,28
301,29,Male,Hat,Accessories,M,Teal,4.4,Yes,Store Pickup,Yes,24
302,46,Male,Skirt,Clothing,M,Green,3.8,Yes,Standard,Yes,25
303,37,Male,Sweater,Clothing,L,Olive,3.6,Yes,Express,Yes,27
304,20,Male,Sandals,Footwear,M,Turquoise,3.3,Yes,Next Day Air,Yes,49
305,40,Male,Dress,Clothing,M,Green,3.4,Yes,Next Day Air,Yes,45
306,60,Male,Sweater,Clothing,M,Teal,3.5,Yes,2-Day Shipping,Yes,26
307,26,Male,Jacket,Outerwear,S,White,3.6,Yes,Express,Yes,4
308,29,Male,Gloves,Accessories,M,Orange,3.2,Yes,Free Shipping,Yes,3
309,66,Male,Handbag,Accessories,M,Beige,3.7,Yes,Standard,Yes,45
310,66,Male,Dress,Clothing,M,Yellow,4.5,Yes,Standard,Yes,21
311,56,Male,Pants,Clothing,M,Charcoal,4.6,Yes,Standard,Yes,50
312,69,Male,Jeans,Clothing,L,Silver,4.1,Yes,Store Pickup,Yes,19
313,38,Male,Pants,Clothing,L,Green,3.4,Yes,Next Day Air,Yes,6
314,42,Male,Dress,Clothing,M,Pink,3.7,Yes,Express,Yes,50
315,30,Male,Pants,Clothing,M,Purple,3.3,Yes,Store Pickup,Yes,17
316,66,Male,Jewelry,Accessories,XL,Orange,4.5,Yes,Express,Yes,24
317,36,Male,Handbag,Accessories,M,Charcoal,3.3,Yes,Free Shipping,Yes,46
318,58,Male,Sweater,Clothing,L,Teal,4.3,Yes,Standard,Yes,42
